brand,price,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
Dell,48000,6th Gen Intel Core i5,"Quad Core, 8 Threads",16GB,DDR4,256GB,SSD,Intel Iris Xe Graphics,15.6,1366,768,Windows 10 OS,1
HP,60000,6th Gen Intel Core i7,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 10 OS,1
Asus,44000,6th Gen Intel Core i5,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,NVIDIA GeForce GTX 1050,15.6,1920,1080,Windows 11 OS,1
Lenovo,78000,10th Gen Intel Core i7,"Octa Core, 16 Threads",16GB,DDR4,256GB,SSD,Intel UHD Graphics,15.6,1920,768,Windows 10 OS,1
Asus,60000,8th Gen Intel Core i5,"Hexa Core, 12 Threads",16GB,DDR4,256GB,SSD,Intel UHD Graphics,15.6,1366,768,Windows 11 OS,1
HP,74000,11th Gen Intel Core i5,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14.0,1366,1080,Windows 10 OS,1
MSI,84000,10th Gen Intel Core i7,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,Intel HD Graphics,14.0,1366,768,Windows 11 OS,1
Acer,86000,11th Gen Intel Core i5,"Quad Core, 8 Threads",8GB,DDR4,1024GB,SSD,NVIDIA GeForce MX110,14.0,1920,1080,Windows 10 OS,1
Samsung,68000,11th Gen Intel Core i5,"Quad Core, 8 Threads",8GB,DDR4,256GB,SSD,NVIDIA GeForce MX110,14.0,1920,1080,Windows 11 OS,1
Samsung,84000,11th Gen Intel Core i7,"Quad Core, 8 Threads",16GB,DDR4,256GB,SSD,Intel HD Graphics,14.0,1920,768,Windows 11 OS,1
Acer,98000,12th Gen Intel Core i7,"Quad Core, 8 Threads",8GB,DDR4,1024GB,SSD,NVIDIA GeForce MX110,14.0,1366,768,Windows 10 OS,1
HP,60000,7th Gen Intel Core i5,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,NVIDIA GeForce GTX 1050,14.0,1920,1080,Windows 10 OS,1
Dell,68000,11th Gen Intel Core i5,"Hexa Core, 12 Threads",8GB,DDR4,256GB,SSD,Intel Iris Xe Graphics,14.0,1366,1080,Windows 11 OS,1
